"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","James Johnson","Ind","F","37.1","8","5.1","14.4","29.8","2","1","7","0.429","2","0","0.333","0.405","1","0.5","0.9","0.6","0.1","0.5","1.5","1.9","2.4","6","85.8","100.6"
"","Taj Gibson","Nyk","F","38.8","16","10.3","7.5","17.6","2","1","17","0.412","6","0","0.304","0.335","1","1.8","0.6","0.1","0.4","0.3","2.8","1.6","3.3","4","90.7","99.2"
"","Admiral Schofield","Orl","F","27","22","3.7","15.7","14.3","2","0","9","0.444","15","0.333","0.479","0.462","1","0.7","0.3","0","0","0.2","1.7","1.3","2","6.4","0","0"
"","Dylan Windler","Nyk","G-F","27.5","3","2.5","11.6","0","0","0","0","0","2","0.5","0.75","0.75","1","0.3","0.3","0","0","0","1.3","1.3","1.7","7.2","0","0"
"","Joshua Primo","Lac","G","21.3","2","5.2","29.9","57.1","0","0","2","0.5","1","0","0.333","0.333","1","0.5","0","0","0.5","2","1.5","1","1.5","0","36.8","125.4"
"","Alex Fudge","Lal","F","20.9","4","3.6","23.5","13.4","2","1","4","0.25","2","0","0.167","0.291","1","0.5","0","0","0","0.3","1.5","1","1.5","0","0","0"
"","Kenneth Lofton Jr.","Phi","F","21.7","2","4.4","39.3","25","0","0","4","0.25","2","0","0.167","0.167","1","1.5","0","0","0","1","2.5","1","2.5","0","26.8","114.2"
"","Hamidou Diallo","Was","G","25.7","2","2.4","26.3","33.3","0","0","2","0.5","0","0","0.5","0.5","1","1","0.5","1","0","0.5","2","1.5","2.5","13.2","0","0"
"","Frank Ntilikina","Cha","G","25.7","5","8.6","11.2","9.6","2","1","1","0","8","0.125","0.167","0.253","1","1.2","0.8","0","0","0.2","2.2","1.8","3","4.6","74.9","115.4"
"","Jaden Springer","Bos","G","21.5","14","5.1","14.5","21.3","2","1","11","0.545","7","0","0.333","0.371","1","0.8","0.4","0.2","0.2","0.4","1.8","1.4","2.1","5.4","90.3","100.5"
"","Henri Drell","Chi","F","24","2","2.2","30","33.3","0","0","1","1","1","0","0.5","0.5","1","0.5","1.5","0","0","0.5","1.5","2.5","3","16.5","0","0"
"","Ish Wainright","Pho","F","29.6","3","5.1","19.7","14.3","0","0","2","0","4","0.25","0.25","0.25","1","1.7","0.3","0.7","0","0.3","2.7","1.3","3","6.3","80","84.7"
"","Thanasis Antetokounmpo","Mil","F","31.7","30","4.6","12.2","31.6","2","0","25","0.52","1","0","0.5","0.484","0.9","0.4","0.5","0.2","0.1","0.4","1.3","1.3","1.8","4.9","89.4","103.3"
"","TyTy Washington Jr.","Mil","G","22.4","7","4.4","16.8","16.7","0","0","6","0","4","0.5","0.3","0.3","0.9","0.4","0.1","0.3","0","0.3","1.3","1","1.4","3","62.5","115.5"
"","Amari Bailey","Cha","G","20.1","8","3.9","19.8","7.6","2","0.5","7","0.429","5","0","0.25","0.272","0.9","0.3","0.3","0.1","0","0.1","1.1","1.1","1.4","4.4","0","0"
"","Jordan Walsh","Bos","G","20.1","7","6.6","10.3","18.2","0","0","4","0.75","5","0","0.333","0.333","0.9","2","0.6","0.3","0.1","0.3","2.9","1.4","3.4","6.2","94.4","95.5"
"","DaQuan Jeffries","Nyk","G-F","26.6","17","2.7","19.6","15","2","0","7","0.571","10","0.2","0.412","0.391","0.8","0.3","0.3","0","0.1","0.2","1.1","1.1","1.4","6.2","0","0"
"","Charlie Brown Jr.","Nyk","G","26.2","8","4.7","13.9","16.7","0","0","3","0","7","0.286","0.3","0.3","0.8","0.3","0","0","0.3","0.3","1","0.8","1","0","60.2","106.3"
"","Sidy Cissoko","San","G","20","8","5.4","10.6","21.2","4","1","2","0.5","5","0","0.143","0.342","0.8","0.9","0","0.4","0","0.3","1.6","0.8","1.6","0","62.1","108"
"","Alondes Williams","Mia","G","24.8","4","2.9","21.1","18.4","1","1","2","0.5","2","0","0.25","0.338","0.8","0.3","0","0","0","0.3","1","0.8","1","0","0","0"
"","Bismack Biyombo","Okc","C","31.6","8","5.4","10.8","43.4","4","0.5","5","0.4","0","0","0.4","0.444","0.8","0.8","0.3","0.1","0.1","0.5","1.5","1","1.8","4.3","80.3","105.4"
"","Shaquille Harrison","Mem","G","30.5","3","2","14.3","0","0","0","2","0.5","0","0","0.5","0.5","0.7","0.7","0","0","0.3","0","1.3","0.7","1.3","0","0","0"
"","Juan Toscano-Anderson","Sac","F","31","11","4.8","11.4","14.3","0","0","8","0.25","4","0.25","0.292","0.292","0.6","1.3","0.4","0.1","0.1","0.2","1.9","1","2.3","5.7","83.3","95.4"
"","Wendell Moore Jr.","Min","G","22.6","22","3","11.9","16.7","0","0","10","0.7","5","0","0.467","0.467","0.6","0.5","0.2","0.2","0","0.1","1.1","0.9","1.3","5.2","0","0"
"","Jalen Slawson","Sac","F","24.5","10","3.3","9.2","28.6","0","0","3","1","2","0","0.6","0.6","0.6","0.7","0.2","0.1","0.1","0.2","1.3","0.8","1.5","5.3","0","0"
"","Usman Garuba","Gol","F","22.1","4","2.7","23.8","16.7","0","0","4","0.25","1","0","0.2","0.2","0.5","0.8","0.3","0.3","0","0.3","1.3","0.8","1.5","7.3","0","0"
"","E.J. Liddell","Nor","F","23.3","8","2.9","16.7","23.7","2","1","1","1","5","0","0.167","0.291","0.5","0.6","0.1","0.3","0.3","0.3","1.1","0.6","1.3","4.3","0","0"
"","Pat Spencer","Gol","G","27.8","4","2.2","4.8","0","0","0","1","1","0","0","1","1","0.5","0","0.5","0","0","0","0.5","1","1","0","0","0"
"","Maxwell Lewis","Lal","F","21.7","32","3.1","12.6","31","0","0","12","0.25","8","0.125","0.225","0.225","0.3","0.1","0.2","0.1","0","0.3","0.4","0.4","0.6","2.3","0","0"
"","Harry Giles III","Lal","F-C","26","6","2.8","15.3","0","0","0","3","0.333","3","0","0.167","0.167","0.3","0.3","0","0.2","0","0","0.7","0.3","0.7","0","0","0"
"","Danny Green","Phi","G","36.8","2","9.3","4.7","0","0","0","1","0","1","0","0","0","0","1","0.5","0.5","0","0","1","0.5","1.5","0","33.1","112.5"
"","Ryan Arcidiacono","Nyk","G","30","20","2.3","7.6","25","0","0","0","0","6","0","0","0","0","0.4","0.2","0.1","0","0.1","0.4","0.2","0.6","0","0","0"
"","Kaiser Gates","Nor","F","27.4","1","7.4","23.5","0","0","0","2","0","2","0","0","0","0","1","0","0","0","0","1","0","1","0","0","118.8"
"","Marques Bolden","Mil","C","26","2","1.5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Filip Petrusev","Phi","C","24","1","2.7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Javonte Smart","Phi","G","24.8","1","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Malcolm Cazalon","Det","G","22.6","1","2.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Ron Harper Jr.","Tor","F","24","1","3.7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0"
"","Mouhamed Gueye","Atl","F","21.4","3","2.7","25.7","20","0","0","1","0","3","0","0","0","0","0.3","0","0.3","0","0.3","0.3","0","0.3","0","0","0"
"","Dmytro Skapintsev","Nyk","C","25.9","2","1.1","20.5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Pete Nance","Cle","F","24.1","6","2.3","12.7","33.3","2","0","2","0","0","0","0","0","0","0.3","0","0","0","0.2","0.3","0","0.3","0","0","0"
"","Trey Jemison","Was","C","24.4","2","0.8","28.1","100","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0.5","0.5","0","0.5","0","0","0"
"","Kira Lewis Jr.","Tor","G","23","1","1.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Darius Bazley","Phi","F","23.8","3","3.3","8.8","50","0","0","1","0","0","0","0","0","0","0.3","0.7","0","0","0.3","0.3","0.7","1","0","0","0"
"","Adam Flagler","Okc","G","24.4","1","5.5","23.7","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","1","1","0","23.9","124.7"
"","Justin Jackson","Min","F","29","2","0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Jalen Crutcher","Nor","G","24.7","1","2.7","16.1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Andrew Funk","Chi","G","24.5","3","1.3","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Quenton Jackson","Ind","G","25.6","1","1.8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Jacob Gilyard","Bro","G","25.7","2","7.5","5.8","0","0","0","0","0","2","0","0","0","0","0","1","0.5","0","0","0","1","1","0","59","106.7"
"","Mamadi Diakite","Nyk","F","27.2","3","2.8","10.1","50","0","0","0","0","1","0","0","0","0","0.3","0","0.3","0","0.3","0.3","0","0.3","0","0","0"
"","Malik Williams","Tor","C","25.6","3","12.7","9","12.5","0","0","5","0","2","0","0","0","0","2.3","0.3","0.3","1","0.3","2.3","0.3","2.7","0","19.1","113"
"","Ryan Rollins","Mil","G","21.8","1","1.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
